QTY,INVOICENUMBER,ITEM_DESCRIPTION,MENUDESC
1,1273812,COTTON CANDY/ PKT LARGE,DELIVERY
0.3,1273913,ZNOUD EL SET,TAKE AWAY
0.3,1273913,HALEWET EL JEBEN LAF,TAKE AWAY
5,1273913,ICE CREAM 5 SCOOP,TAKE AWAY
0.5,1273919,ZNOUD EL SET,TAKE AWAY
2.5,1273919,EMPTY KAAK FREE,TAKE AWAY
0.5,1273919,KNEFEH KASHTA,TAKE AWAY
0.5,1273924,ZNOUD EL SET,TAKE AWAY
1,1273924,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1273924,KNEFEH KASHTA TA/PLT,TAKE AWAY
0.5,1273924,KNEFEH KASHTA TA/PLT,TAKE AWAY
1,1273924,MAFROUKEH ALMOND + PISTACHIO/PLT,TAKE AWAY
1,1273924,MAFROUKEH,TAKE AWAY
1,1273869,ZNOUD EL SET,TAKE AWAY
1,1273869,LAHM B AJIN DOZEN,TAKE AWAY
0.5,1273880,ZNOUD EL SET,TABLES
