QTY,INVOICENUMBER,ITEM_DESCRIPTION,MENUDESC
0.2,1279771,ADD SUGAR FREE SYRUP,TAKE AWAY
0.5,1279771,HALEWET EL JEBEN LAF,TAKE AWAY
0.5,1279771,HALEWET EL JEBEN,TAKE AWAY
2,1269896,ZNOUD EL SET,TAKE AWAY
2,1269900,ZNOUD EL SET,TAKE AWAY
0.5,1269914,ZNOUD EL SET,TAKE AWAY
0.5,1269917,ZNOUD EL SET,TAKE AWAY
0.5,1269917,HALEWET EL JEBEN LAF,TAKE AWAY
0.5,1269919,ZNOUD EL SET,TAKE AWAY
0.5,1269919,HALEWET EL JEBEN LAF,TAKE AWAY
0.56,1269927,ZNOUD EL SET,TAKE AWAY
1,1269933,ZNOUD EL SET,TAKE AWAY
0.5,1269934,ZNOUD EL SET,TAKE AWAY
0.5,1269934,HALEWET EL JEBEN LAF,TAKE AWAY
4,1269934,LAHM B AAJIN SQUARE/PC,TAKE AWAY
0.5,1269940,ZNOUD EL SET,TABLES
